 sex row_number liters_drunk age drink check_number label
0 Ж  -2 77 Bugbeer 9774 1
2468 - 56.0 0 72 Water 3331 0
2469 ж 80.0 3 27 "Strong beer" 1311 1
2470 - 95.0 0 51 Cola 5580 1
2471 м 49.0 1 45 Cola 7449 0
2472 "Не указан" 86.0 0 15 Fanta 7012 0
2473 ж 81.0 -4 13 Cola 5860 0
2474 м 36.0 4 80 Water 3281 1
2475 - 27.0 -2 56 Water 3676 1
2476 - 96.0 0 45 Bugbeer 9506 1
2477 M 87.0 2 36 Bugbeer 8741 0
2478 Ж 76.0 -5 11 Fanta 7155 0
2479 Ж 5.0 5 66 Fanta 5497 0
2480 ж  2 12 Fanta 7147 0
2481 Ж 18.0 1 52 Cola 8760 0
2482 - 37.0 1 67 Fanta 6136 0
2483 "Не указан" 90.0 2 59 Water 5503 0
2484 "Не указан" 99.0 4 25 "Strong beer" 4373 1
2485 M 41.0 1 57 "Strong beer" 1466 1
2486 Ж 89.0 5 63 "Strong beer" 3248 0
2487 M 17.0 5 71 "Strong beer" 7685 1
2488 м 50.0 5 48 Beerbeer 1618 1
2489 - 67.0 25418631 75 Cola 7978 1
2490 м 72.0 1 19 Cola 3838 1
2491 Ж 43.0 0 12 Fanta 6647 1
2492 ж 71.0 1 54 Water 5053 0
2493 ж  2 54 Fanta 487 1
2494 "Не указан" 77.0 5 68 Cola 2041 0
2495 ж 30.0 2 64 Bugbeer 8370 1
2496 "Не указан" 60.0 0 26 "Strong beer" 2568 1
2497 - 3.0 0 54 Bugbeer 5114 1
2498 Ж 9.0 2 38 Beerbeer 21 1
2499 -  5 29 Bugbeer 4470 1
2500 ж 45.0 4 71 Bugbeer 9894 0
2501 - 6.0 1 52 Fanta 9918 0
2502 ж 17.0 1 14 Cola 6568 1
2503 Ж 47.0 3 48 Bugbeer 1787 0
2504 - 74.0 4 75 Beerbeer 3395 1
2505 ж 86.0 4 53 Cola 496 1
2506 ж 21.0 0 46 Cola 2367 0
2507 ж  4 22 Water 7276 1
2508 Ж 14.0 2 64 Beerbeer 8728 0
2509 "Не указан" 21.0 5 73 Fanta 3770 1
2510 - 52.0 5 41 "Strong beer" 2714 1
2511 M 9.0 2 37 "Strong beer" 4130 1
2512 ж 45.0 4 57 Water 6687 1
2513 ж 67.0 5 10 Water 3584 1
2514 м 15.0 3 47 Bugbeer 1147 1
2515 - 5.0 2 74 "Strong beer" 3878 0
2516 ж 47.0 4 24 Fanta 804 1
2517 ж 91.0 3 23 "Strong beer" 6091 1
2518 "Не указан" 25.0 2 49 Beerbeer 2853 1
2519 - 93.0 3 24 Water 6304 0
2520 M 20.0 2 38 Cola 6637 1
2521 - 100.0 1 28 Cola 5836 0
2522 M 87.0 5 47 Bugbeer 9605 1
2523 ж 77.0 2 13 Fanta 5629 0
2524 "Не указан" 71.0 0 29 Beerbeer 2128 0
2525 "Не указан" 16.0 3 17 Fanta 1726 0
2526 - 87.0 0 70 "Strong beer" 3440 0
2527 M 43.0 2 22 Beerbeer 877 0
2528 ж  -5 23 Cola 5078 0
2529 Ж 17.0 3 31 Fanta 7073 1
2530 M 46.0 3 23 Fanta 6680 1
2531 м 72.0 4 68 Beerbeer 1918 1
2532 "Не указан" 2.0 4 55 Fanta 1463 1
2533 M 61.0 3 57 Water 9824 0
2534 - 30.0 2 73 Bugbeer 5387 0
2535 - 96.0 4 44 "Strong beer" 1498 1
2536 - 44.0 3 63 Bugbeer 9632 0
2537 - 58.0 5 24 Beerbeer 2102 1
2538 ж 21.0 768239 37 "Strong beer" 541 0
2539 Ж 59.0 3 46 Cola 5445 0
2540 Ж 96.0 5 21 Beerbeer 544 1
2541 - 27.0 1 63 "Strong beer" 3213 1
2542 ж 65.0 5 27 Water 9002 0
2543 Ж 95.0 1 67 Beerbeer 2922 0
2544 ж 58.0 3 77 Cola 417 0
2545 M 49.0 -1 72 Water 7803 1
2546 ж 46.0 2 24 Fanta 5125 0
2547 ж 75.0 -5 57 Water 4766 0
2548 м 30.0 4 17 Cola 5927 0
2549 "Не указан" 21.0 5 70 Bugbeer 3729 0
2550 M 0.0 1 25 Beerbeer 9340 0
2551 -  1 35 "Strong beer" 5058 0
2552 Ж 4.0 0 50 Beerbeer 5096 1
2553 "Не указан" 82.0 2 80 Beerbeer 6589 0
2554 ж 84.0 2 63 Bugbeer 2586 1
2555 "Не указан" 39.0 16522209 51 Beerbeer 916 0
2556 M 37.0 3 49 Water 6276 1
2557 M 75.0 7620101 50 Fanta 9421 0
2558 - 72.0 2 39 Cola 9213 1
2559 м 90.0 -4 25 "Strong beer" 2963 1
2560 м 11.0 1 33 Beerbeer 3469 1
2561 ж 15.0 5 32 Bugbeer 8386 1
2562 м 90.0 -4 58 Fanta 6359 1
2563 M 100.0 5 77 Water 5446 0
2564 "Не указан" 75.0 2 40 "Strong beer" 3788 0
2565 M 77.0 3 54 Fanta 2591 1
2566 - 16.0 2 36 "Strong beer" 1284 1
2567 Ж 95.0 -3 54 Cola 8867 0
2568 м  5 18 Fanta 5409 0
2569 M 87.0 5 68 Bugbeer 1771 1
2570 Ж 66.0 -4 58 Bugbeer 2002 1
2571 Ж 17.0 -3 37 Beerbeer 4560 1
2572 "Не указан" 37.0 2 13 Water 2706 0
2573 "Не указан" 66.0 5 77 Water 561 1
2574 ж 88.0 2 45 Water 980 1
2575 м 59.0 4 58 Bugbeer 7956 0
2576 м 72.0 3 55 Cola 4999 1
2577 - 41.0 5 34 Fanta 9508 1
2578 - 74.0 0 35 Cola 3902 1
2579 M 46.0 4 41 Beerbeer 1456 1
2580 м 16.0 4 19 Fanta 668 1
2581 Ж  5 50 Beerbeer 6741 1
2582 ж 63.0 2 73 Cola 6857 1
2583 M 43.0 1 61 Water 1831 0
2584 "Не указан" 51.0 3 65 Bugbeer 5370 1
2585 м 17.0 2 22 "Strong beer" 3533 1
2586 M 70.0 1 22 Fanta 3437 1
2587 - 1.0 0 80 Fanta 2930 1
2588 м 3.0 0 76 Bugbeer 8831 1
2589 "Не указан" 25.0 58293707 66 Fanta 8788 0
2590 "Не указан" 100.0 2 65 Bugbeer 2744 0
2591 м 54.0 1 80 "Strong beer" 7103 0
2592 "Не указан"  5 21 Water 215 0
2593 "Не указан" 18.0 4 68 "Strong beer" 7422 1
2594 - 89.0 5 10 Water 3039 1
2595 - 20.0 3 57 Bugbeer 2280 1
2596 м 79.0 5 55 Water 4224 1
2597 M 21.0 2 45 Cola 363 0
2598 - 83.0 0 80 "Strong beer" 4570 1
2599 м 39.0 0 62 "Strong beer" 4924 0
2600 ж 33.0 0 69 Beerbeer 4230 1
2601 Ж 80.0 3 76 Beerbeer 712 0
2602 M 68.0 2 32 Beerbeer 8734 1
2603 м 11.0 4 47 Fanta 1914 1
2604 - 19.0 2 70 Cola 9845 1
2605 "Не указан" 27.0 3 70 Water 5914 1
2606 ж 34.0 2 63 Cola 2638 1
2607 м 10.0 1 40 Bugbeer 9991 1
2608 м 99.0 3 74 "Strong beer" 8712 0
2609 Ж 92.0 2 68 Cola 9868 0
2610 M 24.0 2 75 "Strong beer" 5353 0
2611 M 85.0 5 68 Beerbeer 6827 1
2612 "Не указан" 51.0 5 43 Beerbeer 5452 1
2613 ж 49.0 44825923 76 Beerbeer 7688 1
2614 м 6.0 2 58 Water 1603 1
2615 м 45.0 3 54 "Strong beer" 5997 0
2616 - 8.0 4 19 Water 1677 1
2617 Ж 45.0 12657503 69 Water 8938 1
2618 - 72.0 3 46 Bugbeer 1476 0
2619 Ж 95.0 5 15 Cola 4634 1
2620 "Не указан" 72.0 0 52 Cola 4915 0
2621 - 8.0 0 43 Fanta 9296 0
2622 Ж 83.0 5 51 "Strong beer" 6788 1
2623 - 80.0 1 80 Cola 6796 0
2624 - 52.0 0 30 Water 9101 0
2625 M 11.0 2 50 Fanta 9109 0
2626 - 86.0 3 35 "Strong beer" 6587 1
2627 м 31.0 5 55 Water 4928 0
2628 м 6.0 5 43 Water 760 0
2629 "Не указан" 89.0 1 58 Bugbeer 7313 0
2630 Ж 52.0 5 20 Water 3402 0
2631 "Не указан" 33.0 3 53 Beerbeer 6550 0
2632 ж 34.0 3 59 Bugbeer 3692 0
2633 Ж 70.0 2 66 Cola 9424 1
2634 ж 16.0 2 48 Bugbeer 7416 1
2635 "Не указан" 14.0 2 30 Bugbeer 2408 1
2636 M 73.0 1 10 Water 5406 1
2637 Ж  5 40 Bugbeer 9252 1
2638 "Не указан" 29.0 4 71 Water 1118 0
2639 - 82.0 5 46 Beerbeer 7798 1
2640 ж 60.0 2 46 Bugbeer 1935 0
2641 Ж 9.0 2 16 Fanta 7457 0
2642 ж 55.0 0 30 Water 8657 1
2643 M 20.0 4 38 Fanta 4982 1
2644 - 21.0 2 42 Beerbeer 0 0
2645 Ж  5 73 Beerbeer 5335 1
2646 м 12.0 5 11 Water 3199 1
2647 ж 8.0 0 61 Beerbeer 1851 1
2648 ж 82.0 0 66 Beerbeer 5727 0
2649 - 41.0 5 78 Beerbeer 593 0
2650 ж 78.0 3 59 Fanta 7236 0
2651 м 5.0 3 69 Fanta 8774 0
2652 ж 84.0 0 23 "Strong beer" 9558 1
2653 M 80.0 3 27 "Strong beer" 8809 0
2654 "Не указан" 92.0 1 34 Bugbeer 7170 0
2655 "Не указан" 96.0 4 61 Bugbeer 4717 1
2656 - 6.0 56135677 67 Cola 9613 1
2657 Ж 22.0 1 40 "Strong beer" 7940 0
2658 - 86.0 1 48 Beerbeer 7338 0
2659 Ж 99.0 1 29 Cola 294 0
2660 Ж 8.0 0 51 "Strong beer" 7558 0
2661 "Не указан" 89.0 5 63 Water 5403 1
2662 Ж  2 46 "Strong beer" 9419 1
2663 "Не указан" 89.0 4 75 Water 182 1
2664 м 66.0 -4 46 Beerbeer 448 0
2665 "Не указан" 9.0 1 41 Fanta 2970 0
2666 ж 7.0 5 39 "Strong beer" 4357 1
2667 м 69.0 1 75 Beerbeer 7932 1
2668 Ж 68.0 3 12 Fanta 757 1
2669 м 35.0 60204926 77 Beerbeer 4575 1
2670 M 83.0 1 38 Bugbeer 9986 1
2671 Ж 86.0 0 79 Beerbeer 4957 1
2672 Ж 23.0 2 59 Bugbeer 7942 1
2673 м 11.0 4 50 Water 4511 0
2674 - 1.0 2 25 Cola 8523 1
2675 "Не указан" 15.0 3 68 Bugbeer 9815 1
2676 "Не указан" 16.0 4 30 Beerbeer 2583 1
2677 Ж 90.0 3 53 Bugbeer 2344 1
2678 Ж 44.0 3 47 "Strong beer" 5186 1
2679 Ж 80.0 5 70 Cola 233 1
2680 ж 75.0 3 31 "Strong beer" 5786 0
2681 - 2.0 1 24 Bugbeer 8757 0
2682 M 5.0 4 56 Beerbeer 4765 0
2683 Ж 62.0 4 39 Cola 7052 1
2684 м 57.0 1 18 Water 626 1
2685 ж 8.0 5 80 Beerbeer 7501 1
2686 "Не указан" 4.0 0 54 Cola 5803 1
2687 Ж 15.0 3 34 Bugbeer 9965 1
2688 ж 90.0 5 55 Bugbeer 4182 1
2689 ж  1 42 Beerbeer 9008 0
2690 м 14.0 3 65 "Strong beer" 7618 0
2691 M  9824596 65 Water 9269 0
2692 Ж 40.0 4 69 Fanta 4513 0
2693 "Не указан" 28.0 5 65 Fanta 9641 0
2694 Ж  3 44 Beerbeer 1271 1
2695 - 95.0 5 53 "Strong beer" 3382 1
2696 M 43.0 1 24 "Strong beer" 9277 1
2697 ж 57.0 3 25 Bugbeer 3785 0
2698 M 1.0 1 65 Bugbeer 7188 1
2699 "Не указан" 79.0 3 80 Beerbeer 9245 0
2700 M 93.0 29158823 76 Bugbeer 2983 1
2701 Ж 72.0 3 65 "Strong beer" 3019 0
2702 Ж 27.0 2 62 Bugbeer 8675 1
2703 Ж 2.0 66380786 15 Water 6532 1
2704 м 45.0 0 26 Fanta 7179 1
2705 - 62.0 0 31 Cola 1632 1
2706 Ж 81.0 4 28 Water 9064 0
2707 "Не указан" 14.0 4 32 Beerbeer 7122 1
2708 м 31.0 5 67 Beerbeer 7202 0
2709 м 56.0 2 61 "Strong beer" 4732 1
2710 -  2 27 Cola 8893 0
2711 ж 40.0 3 48 Fanta 8742 1
2712 Ж 21.0 2 25 Beerbeer 3847 1
2713 ж 7.0 31836014 29 Beerbeer 1081 1
2714 Ж 85.0 4 37 "Strong beer" 1095 1
2715 ж 49.0 1 66 Beerbeer 1444 1
2716 "Не указан" 98.0 5 58 Cola 4432 1
2717 м 80.0 3 22 Cola 5093 1
2718 ж 60.0 3 47 Water 1254 1
2719 м 46.0 5 68 Water 7050 1
2720 м 14.0 1 71 Beerbeer 3962 1
2721 -  1 43 Beerbeer 8556 1
2722 - 92.0 1 77 Beerbeer 5551 1
2723 Ж 8.0 1 39 "Strong beer" 755 1
2724 "Не указан" 59.0 4 39 Water 3679 0
2725 - 69.0 4 42 Beerbeer 8337 1
2726 M 83.0 4 22 Bugbeer 5461 1
2727 "Не указан"  -3 78 Beerbeer 7966 1
2728 - 42.0 5 12 Cola 5716 1
2729 Ж 84.0 4 47 "Strong beer" 4259 1
2730 M 13.0 56480283 77 Cola 4061 0
2731 - 91.0 2 43 Bugbeer 9961 1
2732 м 74.0 4 59 Beerbeer 2117 1
2733 Ж  4 13 Cola 7532 1
2734 ж 3.0 -4 38 "Strong beer" 1064 1
2735 - 29.0 5 14 Fanta 1210 1
2736 ж 62.0 2 58 "Strong beer" 9013 0
2737 - 53.0 5 76 "Strong beer" 7231 1
2738 -  0 70 Water 3504 0
2739 "Не указан" 13.0 3 51 Beerbeer 5254 0
2740 м 97.0 3 71 "Strong beer" 3434 0
2741 "Не указан" 33.0 3 13 Water 7157 1
2742 - 80.0 3 55 "Strong beer" 9096 0
2743 M 11.0 3 20 Cola 7777 0
2744 M 61.0 2 67 Water 4233 0
2745 м 90.0 3 69 Cola 5544 0
2746 "Не указан" 21.0 1 10 Cola 1467 1
2747 - 80.0 3 80 Cola 6125 1
2748 - 84.0 1 33 Bugbeer 5181 1
2749 "Не указан" 40.0 4 16 Cola 5111 0
2750 "Не указан" 53.0 0 76 Fanta 9312 1
2751 м 18.0 3 24 Bugbeer 5467 1
2752 ж 63.0 5 78 Fanta 103 1
2753 M 92.0 4 55 "Strong beer" 7133 1
2754 - 84.0 -6 60 "Strong beer" 5769 1
2755 M 6.0 4 79 Cola 8038 1
2756 ж 19.0 4 12 Water 3106 1
2757 ж 58.0 2 16 Fanta 7186 0
2758 м 31.0 4 44 Fanta 3925 1
2759 м 88.0 3 27 Water 9851 1
2760 м 8.0 2 30 Beerbeer 4961 1
2761 ж 15.0 3 59 Bugbeer 3817 1
2762 Ж 23.0 4 63 "Strong beer" 8817 0
2763 "Не указан" 30.0 5 54 Beerbeer 6764 0
2764 ж 76.0 3 17 Fanta 1843 0
2765 - 24.0 -2 37 "Strong beer" 858 1
2766 Ж 75.0 1 22 Bugbeer 424 1
2767 Ж 71.0 97605021 28 "Strong beer" 3301 1
2768 ж  0 43 Fanta 5764 1
2769 M 53.0 4 40 Cola 2952 1
2770 - 53.0 2 15 Cola 1162 1
2771 "Не указан" 21.0 5 12 Cola 1425 1
2772 Ж 44.0 -4 72 Beerbeer 572 0
2773 M 4.0 0 27 Fanta 113 0
2774 м 62.0 0 51 Cola 4098 1
2775 M 93.0 4 27 Bugbeer 464 1
2776 - 58.0 3 57 Beerbeer 6095 1
2777 "Не указан" 84.0 1 61 "Strong beer" 4840 0
2778 M 52.0 2 19 Cola 1242 1
2779 M 6.0 1 18 Water 2872 0
2780 M 36.0 0 47 Fanta 3411 1
2781 - 86.0 0 16 Fanta 7237 0
2782 ж 25.0 1 28 Fanta 7116 0
2783 м 24.0 2 37 "Strong beer" 5362 1
2784 Ж 51.0 2 29 Beerbeer 6968 1
2785 M 13.0 3 41 Water 2665 1
2786 "Не указан" 100.0 3 67 Beerbeer 8308 0
2787 - 53.0 1 27 Fanta 2151 0
2788 м  2 68 Water 1065 1
2789 Ж 18.0 0 21 "Strong beer" 8388 1
2790 ж 39.0 1 12 Water 3229 0
2791 Ж 9.0 4 40 Beerbeer 8789 1
2792 м 95.0 3 10 Water 4126 1
2793 M 56.0 1 48 Fanta 1927 1
2794 м 72.0 4 61 Cola 5538 0
2795 Ж 21.0 0 20 Cola 7696 1
2796 M 49.0 4 36 "Strong beer" 8799 1
2797 M 61.0 5 68 Water 3197 1
2798 Ж 38.0 1 42 Water 5576 1
2799 Ж 70.0 0 42 "Strong beer" 7895 0
2800 "Не указан" 42.0 2 32 "Strong beer" 9139 0
2801 - 57.0 5 65 Bugbeer 8235 1
2802 -  87904564 79 "Strong beer" 7390 0
2803 Ж 95.0 5 27 "Strong beer" 4358 1
2804 "Не указан" 53.0 3 24 Water 5921 0
2805 Ж 35.0 5 59 "Strong beer" 3260 1
2806 ж 50.0 1 74 Fanta 6169 1
2807 ж  0 29 Water 32 0
2808 M 44.0 1 17 Water 8520 1
2809 м 20.0 0 27 Beerbeer 8698 1
2810 ж 5.0 96443720 26 "Strong beer" 1401 0
2811 м 33.0 3 24 Water 5141 1
2812 Ж 2.0 1 42 "Strong beer" 23 1
2813 Ж 84.0 4 52 Fanta 9953 0
2814 Ж 70.0 5 74 Fanta 9910 1
2815 Ж 15.0 6551198 55 Water 2401 1
2816 ж 54.0 -4 13 Fanta 495 0
2817 ж 1.0 13497209 28 Water 2659 0
2818 - 34.0 5 71 Fanta 2777 1
2819 M 28.0 1 76 Water 58 0
2820 м 46.0 2 75 Cola 5525 1
2821 Ж 92.0 2 23 Beerbeer 9401 1
2822 м 63.0 -4 48 Bugbeer 3103 0
2823 Ж 59.0 3 41 Fanta 8732 0
2824 Ж 86.0 0 54 Water 9689 0
2825 "Не указан" 53.0 2 59 Bugbeer 2938 0
2826 - 3.0 2 77 Water 8743 1
2827 M 82.0 -1 24 Cola 2518 1
2828 ж 66.0 3 71 Beerbeer 3608 0
2829 - 68.0 4 53 Water 197 1
2830 м 79.0 3 26 Cola 7831 1
2831 "Не указан" 66.0 -5 13 Cola 5479 0
2832 M 89.0 3 11 Cola 9459 1
2833 ж 10.0 2 47 Water 736 0
2834 M 56.0 3 20 Fanta 9415 1
2835 "Не указан" 94.0 2 80 Water 682 1
2836 Ж 41.0 3 11 Water 7848 1
2837 "Не указан" 89.0 4 23 "Strong beer" 7718 1
2838 M 38.0 1 58 Cola 5229 1
2839 ж 6.0 2 12 Cola 2010 0
2840 "Не указан" 59.0 2 37 Bugbeer 4814 1
2841 "Не указан" 1.0 3 36 Beerbeer 4888 1
2842 - 81.0 3 44 Water 5391 0
2843 Ж 21.0 0 21 Fanta 7077 1
2844 ж  2 16 Cola 8806 1
2845 - 91.0 -1 76 Fanta 9159 0
2846 - 15.0 3 15 Fanta 5413 1
2847 "Не указан" 9.0 3 51 Bugbeer 7500 1
2848 м 44.0 5 28 Cola 3858 0
2849 "Не указан" 57.0 3 10 Cola 8101 1
2850 Ж 26.0 3 75 Bugbeer 299 1
2851 м 62.0 -2 63 Water 942 1
2852 ж 14.0 1 66 "Strong beer" 15 0
2853 - 10.0 18829311 51 Bugbeer 2719 1
2854 "Не указан" 83.0 0 58 Fanta 9370 1
2855 ж 5.0 -2 48 Beerbeer 3541 1
2856 м 65.0 1 25 "Strong beer" 8054 1
2857 - 8.0 3 31 "Strong beer" 5317 0
2858 м 27.0 1 43 "Strong beer" 5149 1
2859 M 82.0 4 60 Beerbeer 934 1
2860 м 97.0 3 28 "Strong beer" 6745 0
2861 - 100.0 2 24 Bugbeer 9115 0
2862 Ж 61.0 5 27 Fanta 6572 0
2863 M 70.0 3 40 Bugbeer 5841 1
2864 м 25.0 2 32 Water 547 1
2865 Ж 7.0 4 54 Bugbeer 2083 1
2866 M 59.0 5 54 Beerbeer 6430 1
2867 M 28.0 0 78 Water 6103 1
2868 м 87.0 3 21 Beerbeer 1680 1
2869 м 46.0 3 51 Water 325 0
2870 Ж 70.0 3 25 Water 5777 0
2871 - 46.0 0 35 "Strong beer" 385 1
2872 "Не указан" 32.0 1 36 "Strong beer" 2521 1
2873 ж 39.0 5 11 Water 7314 1
2874 Ж 76.0 3 50 Bugbeer 68 0
2875 "Не указан" 3.0 0 37 Fanta 7950 1
2876 M 56.0 5 31 Beerbeer 731 1
2877 м 77.0 5 58 Fanta 4050 0
2878 Ж 31.0 4 15 Cola 4411 0
2879 "Не указан" 53.0 4 77 Beerbeer 2878 0
2880 Ж 2.0 5 70 "Strong beer" 3240 1
2881 - 69.0 2 77 "Strong beer" 3652 0
2882 M 96.0 3 61 Water 176 1
2883 "Не указан" 58.0 1 52 "Strong beer" 6466 1
2884 Ж 95.0 2 31 "Strong beer" 6086 0
2885 M  0 77 "Strong beer" 5041 1
2886 - 11.0 2 40 Beerbeer 9469 1
2887 - 22.0 0 58 Fanta 1650 0
2888 "Не указан" 0.0 0 46 Bugbeer 1815 0
2889 м 88.0 1 37 Bugbeer 8349 0
2890 м 38.0 5 42 "Strong beer" 6776 1
2891 M 1.0 1 29 Cola 1302 1
2892 "Не указан" 57.0 3 16 Fanta 2351 1
2893 - 74.0 3 33 Beerbeer 1161 0
2894 M 48.0 4 38 Bugbeer 4650 1
2895 м 82.0 2 79 Fanta 497 0
2896 "Не указан" 17.0 1 39 Beerbeer 6982 1
2897 M 50.0 2 66 Water 3771 0
2898 M 27.0 2 24 Beerbeer 6339 1
2899 м 92.0 3 40 "Strong beer" 6080 1
2900 - 66.0 2 49 "Strong beer" 9842 1
2901 - 42.0 2 54 Cola 5797 1
2902 M 61.0 0 47 Beerbeer 7102 0
2903 Ж 5.0 1 63 Bugbeer 8941 1
2904 - 16.0 0 35 Bugbeer 451 0
2905 "Не указан" 26.0 1 74 Cola 8041 0
2906 м 97.0 4 19 Water 6880 0
2907 Ж 92.0 0 15 Water 3030 1
2908 M 81.0 0 78 "Strong beer" 8693 1
2909 - 83.0 0 38 "Strong beer" 3143 0
2910 м 34.0 5 56 Bugbeer 6448 1
2911 Ж 54.0 0 66 Bugbeer 3138 1
2912 м 9.0 2 34 "Strong beer" 4405 1
2913 м 21.0 2 45 Water 9232 1
2914 м 28.0 4 48 Water 8446 1
2915 Ж 77.0 5 10 Water 5277 1
2916 M 44.0 3 73 Beerbeer 9293 1
2917 - 62.0 2 31 Cola 1100 1
2918 ж 54.0 0 37 Bugbeer 7591 1
2919 "Не указан" 76.0 1 67 Beerbeer 1101 1
2920 - 40.0 4 37 Fanta 38 0
2921 M 11.0 1 44 "Strong beer" 9113 1
2922 M 69.0 2 45 Fanta 5754 0
2923 - 0.0 3 54 Beerbeer 9546 1
2924 м 27.0 1 74 "Strong beer" 7947 1
2925 ж 54.0 1 32 "Strong beer" 8272 1
2926 м 40.0 2 50 Beerbeer 5048 0
2927 -  2 61 Cola 7557 1
2928 M 66.0 1 68 Water 6940 0
2929 M 70.0 1 30 "Strong beer" 4979 1
2930 "Не указан" 17.0 4 31 Bugbeer 5359 1
2931 "Не указан" 16.0 5 69 Fanta 8767 0
2932 м 90.0 1 44 Fanta 9329 1
2933 Ж 98.0 2 34 Bugbeer 1126 0
2934 "Не указан" 1.0 5 75 Fanta 871 1
2935 Ж 81.0 5 71 Bugbeer 529 0
2936 - 24.0 2 24 Water 7413 0
2937 "Не указан" 71.0 5 64 "Strong beer" 9047 1
2938 M 78.0 2 19 Water 9948 1
2939 ж 13.0 5 73 Cola 2033 1
2940 "Не указан" 3.0 0 28 Bugbeer 8594 0
2941 ж 37.0 0 32 Cola 4323 1
2942 M 42.0 2 58 Beerbeer 8105 1
2943 M 35.0 1 73 Fanta 2031 1
2944 M 10.0 4 67 Fanta 4196 1
2945 M 69.0 -5 21 Fanta 7534 0
2946 м 67.0 4 15 Cola 3938 1
2947 - 7.0 4 39 Fanta 1055 1
2948 ж 8.0 2 59 Cola 6553 0
2949 - 20.0 2 43 Bugbeer 6609 1
2950 м 7.0 0 31 Water 6099 1
2951 M 11.0 1 46 Water 2514 0
2952 - 79.0 4 71 Beerbeer 7528 1
2953 Ж 80.0 0 75 Beerbeer 9349 0
2954 "Не указан"  1 43 Water 9169 0
2955 ж 55.0 3 16 Cola 6582 1
2956 м 90.0 3 78 Fanta 551 1
2957 м 56.0 3 79 Cola 6063 1
2958 ж 55.0 0 79 "Strong beer" 7705 0
2959 M 80.0 98496276 13 Fanta 3880 1
2960 Ж 73.0 -5 45 "Strong beer" 7239 0
2961 - 95.0 1 58 Water 1036 0
2962 Ж 52.0 5 39 Fanta 1688 0
2963 M 17.0 4 33 Cola 7923 1
2964 M 69.0 2 25 Cola 2553 1
2965 м 25.0 2 76 Water 6454 0
2966 M 30.0 5 55 Fanta 8872 0
2967 M  -6 25 Fanta 9973 0
2968 M 3.0 5 75 Bugbeer 6065 1
2969 ж  5 68 Water 5489 1
2970 Ж 20.0 1 38 Water 7825 0
2971 ж  3 59 Cola 8769 0
2972 "Не указан" 98.0 3 68 "Strong beer" 4873 1
2973 M 36.0 2 77 Water 8499 1
2974 M 12.0 1 45 Beerbeer 9299 1
2975 Ж 45.0 0 42 Fanta 7127 1
2976 м 63.0 1 54 Bugbeer 9378 0
2977 м 8.0 3 31 Fanta 2886 1
2978 -  1 67 Fanta 298 0
2979 м 4.0 3 73 Water 2606 1
2980 M 56.0 1 13 Water 1627 1
2981 м 85.0 3 60 Water 9803 0
2982 ж 63.0 4 33 Bugbeer 5310 1
2983 м  5 23 Beerbeer 9023 1
2984 Ж  3 56 Beerbeer 3231 1
2985 м 3.0 1 20 Water 7249 0
2986 - 2.0 4 42 Beerbeer 9164 1
2987 Ж 31.0 3 77 Beerbeer 6801 1
2988 - 26.0 0 78 Water 4049 1
2989 "Не указан" 73.0 3 16 Fanta 5253 1
2990 Ж 41.0 0 55 Fanta 9106 1
2991 "Не указан" 79.0 5 56 Bugbeer 7414 0
2992 - 11.0 5 20 Water 9203 0
2993 м 91.0 3 71 Water 1502 0
2994 Ж 6.0 3 23 "Strong beer" 2868 0
2995 - 54.0 0 13 Fanta 2901 1
2996 м 23.0 3 21 Water 2825 0
2997 - 77.0 0 16 Fanta 1936 0
2998 - 96.0 3 43 Fanta 1750 0
2999 Ж 75.0 2 61 Beerbeer 881 0
3000 - 75.0 0 50 Beerbeer 3611 0
3001 ж 75.0 3 80 Bugbeer 7000 0
3002 M 21.0 4 78 Bugbeer 3208 1
3003 Ж 71.0 0 32 Beerbeer 984 1
3004 ж 29.0 0 69 Beerbeer 2020 1
3005 Ж 79.0 3 40 "Strong beer" 7245 0
3006 M 0.0 5 10 Cola 7915 1
3007 м 32.0 3 14 Water 1480 0
3008 ж 30.0 -3 55 Fanta 6183 1
3009 Ж 95.0 5 41 Water 1517 1
3010 Ж 43.0 5 53 Cola 5124 0
3011 M 18.0 4 76 "Strong beer" 5057 0
3012 - 55.0 1 59 Beerbeer 9811 0
3013 - 100.0 3 31 Bugbeer 1523 1
3014 м 13.0 4 46 Cola 9608 0
3015 м 29.0 4 21 Beerbeer 956 1
3016 - 15.0 3 54 Cola 1973 0
3017 м 76.0 0 33 Fanta 1211 1
3018 м 92.0 2766839 47 Cola 6486 0
3019 Ж 44.0 0 59 Bugbeer 6825 1
3020 "Не указан" 93.0 3 21 "Strong beer" 3760 0
3021 ж 42.0 1 80 Water 8285 0
3022 Ж 98.0 4 69 Fanta 6993 1
3023 "Не указан" 91.0 47530084 67 "Strong beer" 3665 1
3024 - 8.0 3 23 Fanta 346 1
3025 "Не указан" 36.0 2 45 "Strong beer" 9205 1
3026 Ж 9.0 5 17 Water 3054 1
3027 "Не указан" 24.0 3 51 Water 1576 0
3028 - 95.0 3 69 Water 4998 0
3029 - 94.0 2 59 Water 9685 0
3030 Ж 81.0 1 19 Water 4068 0
3031 "Не указан" 1.0 0 34 Water 952 1
3032 ж 94.0 5 43 "Strong beer" 9595 1
3033 м  4 58 "Strong beer" 4232 0
